Country,Place,Start date,End date,Level,lat,lon
Israel,Bnei Brak,2020-04-02,,City,32.084932,34.835226
Italy,Italy,2020-03-09[b],2020-05-18,National,28.1376577,-80.6729943
Jamaica,Saint Catherine,2020-04-15,2020-04-22,Parish,18.0364134,-77.0564464
Jordan,Jordan,2020-03-18,2020-04-30,National,37.3603149,-96.3038876
Kosovo,Kosovo,2020-03-14,2020-05-04 ,National,42.6026359,20.902977
Kuwait,Kuwait,2020-03-14,2020-03-29,National,29.31166,47.481766
Lebanon,Lebanon,2020-03-15,2020-03-28,National,33.854721,35.862285
Liberia,Margibi,2020-03-23,2020-04-11,County,6.5151875,-10.3048897
Liberia,Montserrado,2020-03-23,2020-04-11,County,6.5525815,-10.5296115
Libya,Libya,2020-03-22,,National,26.3351,17.228331
Lithuania,Lithuania,2020-03-16,2020-06-18,National,55.169438,23.881275
Madagascar,Antananarivo,2020-03-23,2020-04-20,City,-18.8791902,47.5079055
Madagascar,Toamasina,2020-03-23,2020-04-20,City,-18.1442811,49.3957836
Malaysia,Malaysia,2020-03-18,2020-06-09,National,4.210484,101.975766
Mexico,Mexico,2020-03-23,2020-06-01,National,19.4968732,-99.72326729999999
Mongolia,Mongolia,2020-03-10,2020-03-16,National,46.862496,103.846656
Montenegro,Tuzi,2020-03-24,,Municipality,42.36894239999999,19.3128909
Morocco,Morocco,2020-03-19,2020-06-10,National,31.791702,-7.092619999999999
Namibia,Namibia,2020-03-27[c],2020-05-04,National,-22.95764,18.49041
Nepal,Nepal,2020-03-24,2020-06-14,National,28.394857,84.12400799999999
New Zealand,New Zealand,2020-03-26,2020-05-14,National,-40.900557,174.885971
Nigeria,Abuja,2020-03-30,2020-04-12,City,9.0764785,7.398574
Nigeria,Lagos,2020-03-30,2020-04-12,City,6.5243793,3.3792057
Nigeria,Ogun,2020-03-30,2020-04-12,State,6.997974699999999,3.4737378
Northern Cyprus,Northern Cyprus,2020-03-30,,National,35.2480359,33.6577243
Oman,Muscat,2020-04-10,2020-05-29,Governorate,23.5880307,58.3828717
Oman,Jalan Bani Bu Ali,2020-04-16,TBD,Province,22.0177073,59.3454978
Pakistan,Pakistan,2020-03-24,2020-05-09,National,30.375321,69.34511599999999
Panama,Panama,2020-03-25,,National,8.537981,-80.782127
Papua New Guinea,Papua New Guinea,2020-03-24,2020-04-07,National,-6.314992999999999,143.95555
Paraguay,Paraguay,2020-03-20,2020-05-03,National,-23.442503,-58.443832
Peru,Peru,2020-03-16,2020-06-30,National,-9.189967,-75.015152
Philippines,Cebu,2020-03-27,2020-05-15[d]to 2020-05-31[e],Province,10.607936,123.8857747
Philippines,Davao Region,2020-03-19,2020-05-15,Region,7.3041622,126.0893406
Philippines,Luzon,2020-03-15[f],2020-04-30[g]to 2020-05-15[h]to 2020-05-31[e],Island group,16.5662318,121.2626366
Philippines,Soccsksargen,2020-03-23,2020-05-15,Region,6.2706918,124.6856509
Poland,Poland,2020-03-13,2020-04-11,National,51.919438,19.145136
Portugal,Portugal,2020-03-19,2020-04-02,National,39.39987199999999,-8.224454
Qatar,Doha Industrial Area,2020-03-11,,Industrial park,25.2029096,51.43489870000001
Romania,Romania,2020-03-25,2020-05-12,National,45.943161,24.96676
Russia,Moscow,2020-03-30,2020-05-12,Metropolitan area,55.755826,37.6172999
Russia,,2020-03-28,2020-04-30,National,61.52401,105.318756
Rwanda,Rwanda,2020-03-21,2020-04-19,National,-1.940278,29.873888
Samoa,Samoa,2020-03-26,2020-04-08,National,-13.759029,-172.104629
San Marino,San Marino,2020-03-14,2020-05-05,National,43.9355907,12.4472806
Saudi Arabia,Jeddah,2020-03-29,,City,21.485811,39.19250479999999
Saudi Arabia,Mecca,2020-03-26,,City,21.3890824,39.8579118
Saudi Arabia,Medina,2020-03-26,,City,24.5246542,39.5691841
Saudi Arabia,Qatif,2020-03-09,,Area,26.5764917,49.998236
Saudi Arabia,Riyadh,2020-03-26,,City,24.7135517,46.6752957
Serbia,Serbia,2020-03-15,2020-04-21to 2020-05-04,National,44.016521,21.005859
Singapore,Singapore,2020-04-07,2020-06-01,National,1.352083,103.819836
South Africa,South Africa,2020-03-26,2020-04-30,National,-30.559482,22.937506
Spain,Spain,2020-03-14,2020-05-09,National,40.46366700000001,-3.74922
Sri Lanka,Sri Lanka,2020-03-18,2020-06-21,National,7.873053999999999,80.77179699999999
Thailand,Thailand,2020-03-25,2020-05-31,National,15.870032,100.992541
